,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
855,100.0,19.0,8.0
856,100.0,19.0,8.0
857,100.0,19.0,8.0
858,100.0,28.0,8.0
859,100.0,28.0,8.0
860,100.0,28.0,8.0
861,127.0,28.0,11.0
862,127.0,28.0,11.0
863,127.0,28.0,11.0
864,127.0,13.0,11.0
865,127.0,13.0,11.0
866,127.0,13.0,11.0
867,125.0,13.0,14.0
868,125.0,13.0,14.0
869,125.0,13.0,14.0
870,125.0,7.0,14.0
871,125.0,7.0,14.0
872,125.0,7.0,14.0
873,113.0,7.0,18.0
874,113.0,7.0,18.0
875,113.0,7.0,18.0
876,113.0,9.0,18.0
877,113.0,9.0,18.0
878,113.0,9.0,18.0
879,98.0,9.0,17.0
880,98.0,9.0,17.0
881,98.0,9.0,17.0
882,98.0,9.0,17.0
883,98.0,9.0,17.0
884,98.0,9.0,17.0
885,104.0,9.0,15.0
886,104.0,9.0,15.0
887,104.0,9.0,15.0
888,104.0,12.0,15.0
889,104.0,12.0,15.0
890,104.0,12.0,15.0
891,108.0,12.0,13.0
892,108.0,12.0,13.0
893,108.0,12.0,13.0
894,108.0,10.0,13.0
895,108.0,10.0,13.0
896,108.0,10.0,13.0
897,99.0,10.0,10.0
898,99.0,10.0,10.0
899,99.0,10.0,10.0
900,99.0,11.0,10.0
901,99.0,11.0,10.0
902,99.0,11.0,10.0
903,116.0,11.0,10.0
904,116.0,11.0,10.0
905,116.0,11.0,10.0
906,116.0,16.0,10.0
907,116.0,16.0,10.0
908,116.0,16.0,10.0
909,125.0,16.0,7.0
910,125.0,16.0,7.0
911,125.0,16.0,7.0
912,125.0,26.0,7.0
913,125.0,26.0,7.0
914,125.0,26.0,7.0
915,120.0,26.0,2.0
916,120.0,26.0,2.0
917,120.0,26.0,2.0
918,120.0,34.0,2.0
919,120.0,34.0,2.0
920,120.0,34.0,2.0
921,98.0,34.0,1.0
922,98.0,34.0,1.0
923,98.0,34.0,1.0
924,98.0,27.0,1.0
925,98.0,27.0,1.0
926,98.0,27.0,2.0
927,114.0,27.0,2.0
928,114.0,15.0,2.0
929,114.0,15.0,2.0
930,114.0,15.0,2.0
931,114.0,15.0,10.0
932,123.0,15.0,10.0
933,123.0,11.0,10.0
934,123.0,11.0,10.0
935,123.0,11.0,10.0
936,123.0,11.0,10.0
937,123.0,11.0,15.0
938,112.0,13.0,15.0
939,112.0,13.0,15.0
940,112.0,13.0,15.0
941,112.0,13.0,15.0
942,112.0,13.0,15.0
943,112.0,13.0,14.0
944,118.0,13.0,14.0
945,118.0,13.0,14.0
946,118.0,13.0,14.0
947,118.0,13.0,14.0
948,118.0,13.0,14.0
949,118.0,13.0,6.0
950,92.0,18.0,6.0
951,92.0,18.0,6.0
952,92.0,18.0,6.0
953,92.0,18.0,6.0
954,92.0,18.0,6.0
955,92.0,18.0,9.0
956,104.0,26.0,9.0
957,104.0,26.0,9.0
958,104.0,26.0,9.0
959,104.0,26.0,9.0
960,104.0,26.0,9.0
961,104.0,26.0,11.0
